Index,PortNames,DistinctLatLong,TooVague,Sea,IndigenousName,Unfindable,NotableFind,Notes,
179,South-Sea,"-5.4284317,-114.294064",Y,Y,,,,,
180,South-Seas,"-5.4284317,-114.294064",Y,Y,,,,,
181,NEW GUINEA,"-5.420187,140.943633",Y,,,,,,
182,SUNDA STRAIGHT,"-5.9205558,105.8770568",,,,,,,
183,SUNDA STRAIT,"-5.9205558,105.8770568",,,,,,,
184,SUNDU STRAIT VIA ST HELENA,"-5.9205558,105.8770568",,,,,,,
185,PORT EGMONT,"-51.3616658,-60.0472626",,,,,,,
186,"PORT EGMONT, FALKLAND ISLANDS","-51.3616658,-60.0472626",,,,,,,
187,FALKLAND ISLANDS,"-51.7223057,-60.651667",,,,,,,
188,CAPE VIRGIN,"-52.3274991,-68.3604429",,,,,,,
189,Straits of Magellan,"-53.1615935,-72.7317368",,Y,,,,,
190,Straits,"-53.1615935,-72.7317368",,,,,,,
191,Maguella,"-53.1615935,-72.7317368",,,,,,,
192,TIERRA DEL FUEGO,"-53.852993,-67.9872213",,,,,,,
193,Tierra del Fuego,"-53.852993,-67.9872213",,,,,,,
194,Terra Del Fuego,"-53.852993,-67.9872213",,,,,,,
195,States Island,"-54.797183,-64.432994",,,,,,,
196,TOWARDS CAPE HORN,"-55.9833202,-67.275443",,,,,,,
197,Cape Horne,"-55.9833202,-67.275443",,,,,,,
198,Cape Horn,"-55.9833202,-67.275443",,,,,,,
199,ANJER ROAD JAVA,"-6.0935689,105.8869432",,,,,,,
200,CRAKATOA,"-6.1502903,105.4332786",,,,,,,
201,ZANZIBAR,"-6.1659168,39.1938648",,,,,,,
202,BATAVIA,"-6.2297419,106.7593064",,,,,,,
203,BATAVIA (VIA ST HELENA),"-6.2297419,106.7593064",,,,,,,
204,BATAVIA ROAD,"-6.2297419,106.7593064",,,,,,,
205,BATAVIA?,"-6.2297419,106.7593064",,,,,,,
206,BATOWIA ROAD,"-6.2297419,106.7593064",,,,,,,
207,"MAURITIUS, BATAVIA","-6.2297419,106.7593064",,,,,,,
208,Batavia,"-6.2297419,106.7593064",,,,,,,
209,bantam,"-6.4457706,105.3781978",,,,,,,
210,PRINCES ISLAND,"-6.6013347,105.1493647",,,,,,,
211,PRINCES ISLAND (JAVA),"-6.6013347,105.1493647",,,,,,,
212,"Pernambuco, port unspecified","-8.5807819,-37.5365046",,,,,,,
213,Petit Mesurado,"6.3124998,-10.834203",,,,,,,
214,MEW BAY -JAVA,"-6.7467649,105.2313417",,Y,,,,,
215,MEW BAY-JAVA,"-6.7467649,105.2313417",,Y,,,,,
216,JAVA HEAD,"-6.7666665,105.1649596",,Y,,,,,
217,JAVA HEAD VIA ST HELENA,"-6.7666665,105.1649596",,Y,,,,,
218,JAVA,"-7.311705,109.869862",,,,,,,
219,JAVA (XMAS ISLAND),"-7.311705,109.869862",,,,,,,
220,Java,"-7.311705,109.869862",,,,,,,
221,CRUISING TOWARDS RODRIQUEZ,"-7.3432226,72.3587088",,,,,,,
222,DIEGO GARCIA,"-7.3432226,72.3587088",,,,,,,
223,DIEGO RAY,"-7.3432226,72.3587088",,,,,,,
224,DIEGO RAYS,"-7.3432226,72.3587088",,,,,,,
225,DIEGO RAYS (RODRIQUES),"-7.3432226,72.3587088",,,,,,,
226,"MATHURIN BAY, RODIGUEZ","-7.3432226,72.3587088",,,,,,,
227,RODRIGUEZ,"-7.3432226,72.3587088",,,,,,,
228,RODRIQUES (DIEGO RAY),"-7.3432226,72.3587088",,,,,,,
229,RODRIQUEZ,"-7.3432226,72.3587088",,,,,,,
230,Malabrigo,"-7.6936397,-79.4459153",,,,,,,
231,Ambriz,"-7.8614675,13.1003378",,,,,,,
232,ASCENSION,"-7.9412322,-14.393142",,,,,,,
233,Terra Australis Incognita,"-79.356198,-0.684356",Y,,,,,,
234,Guanchaquo,"-8.068069,-79.1216764",,,,,,,
235,Guanchaco,"-8.068069,-79.1216764",,,,,,,
236,Truxillo,"-8.1167553,-79.0368892",,,,,,,
237,BALI,"-8.455996,114.7906717",,,,,,,
238,SUMBAVA (E BALI),"-8.455996,114.7906717",,,,,,,
239,Rio Dande (N of Luanda),"-8.5426688,13.4403135",,,,,,,
240,LOMBOCK,"-8.583014,115.9921255",,,,,,,
241,LOMBOCK (NR BALI),"-8.583014,115.9921255",,,,,,,
242,Luanda,"-8.8535258,13.2138929",,,,,,,
243,QUILOA EAST AFRICA,"-8.9658737,39.4883058",,,,,,,
244,"QUILOA, EAST AFRICA","-8.9658737,39.4883058",,,,,,,
245,TIMOR,"-9.0493181,124.5751759",,,,,,,
246,Timor,"-9.0493181,124.5751759",,,,,,,
247,MARQUESAS,"-9.1819002,-140.7811719",,,,,,,
248,Peru,"-8.042385,-75.715616",Y,,,,,,
249,Kingdom of Peru,"-8.042385,-75.715616",,,,,,,
250,ANTIGUA TO GIBRALTAR,",",,,,,,,
251,APOLONIA,",",,,,,,,
252,BERWICK,",",,,,,,,
253,BONA VISTA,",",,,,,,,
254,BRETTS HARBOUR,",",,,,,,,
255,BRUNSWICK,",",,,,,,,
256,CABENDAR ROAD,",",,,,,,,
257,CAPE,",",,,,,,,
258,CAPE CARAVELLA,",",,,,,,,
259,CAPE LAND,",",,,,,,,
260,CAPE LOUGAN,",",,,,,,,
261,CAPE MONIFERADO,",",,,,,,,
262,CARNAR,",",,,,,,,
263,CHATHAM,",",,,,,,,
264,CHEBUTO,",",,,,,,,
265,CHEREBON ROAD,",",,,,,,,
266,CHRISTMAS ISLAND,",",,,,,,,
267,CHURCHILL,",",,,,,,,
268,COASTAL,",",,,,,,,
269,COLLEMOYE,",",,,,,,,
270,CREW SETRA,",",,,,,,,
271,CRUISE IN WESTERN APPROACHES,",",,,,,,,
272,CRUISE OFF CAPE,",",,,,,,,
273,CRUISING,",",,,,,,,
274,CRUISING OFF NF,",",,,,,,,
275,CRUISING THE WESTERN APPROACHES,",",,,,,,,
276,CRUISING WESTERN APPROACHES,",",,,,,,,
277,CUMBAVA,",",,,,,,,
278,DICKIS COVE,",",,,,,,,
279,EQUATOR,",",,,,,,,
280,"FERCERA, NEAR ST MICHAELS",",",,,,,,,
281,FERDINANDO LORONHO,",",,,,,,,
282,FLAT POINT,",",,,,,,,
283,FYALL,",",,,,,,,
284,FYALL BAY,",",,,,,,,
285,GRATIOSA,",",,,,,,,Y
286,GREAT ST LAWRENCE HARBOUR,",",,,,,,,
287,JAGUS,",",,,,,,,
288,JOANNA,",",,,,,,,
289,JOHANNA,",",,,,,,,
290,LONG REACH,",",,,,,,,
291,MAKINDA CREEK,",",,,,,,,
292,MANGASEER ROAD,",",,,,,,,
293,MARGARET ROAD (ENGLAND),",",,,,,,,
294,MARGRET ROAD (UK),",",,,,,,,
295,MOCA MOCA SUMATRA,",",,,,,,,
296,MONOPIN HILL,",",,,,,,,
297,MOOSE,",",,,,,,,
298,MOUBAT,",",,,,,,,
299,NEAR EQUATOR,",",,,,,,,
300,OFF SHORE,",",,,,,,,
301,PRINCES,",",,,,,,,
302,PULO PERRA,",",,,,,,,
303,RIO,",",,,,,,,
304,RIVER BANJOR,",",,,,,,,
305,SAJOR ROAD,",",,,,,,,
306,SEARCHING FOR AN ISLAND,",",,,,,,,
307,SECONDA,",",,,,,,,
308,ST AUGUSTINE,",",,,,,,,
309,ST AUGUSTINES,",",,,,,,,
310,ST HELENS,"50.693746,-1.1106017",,,,,,,
311,ST HELENS ROAD UK,"50.693746,-1.1106017",,,,,,,
312,ST HELLENS ROAD,"50.693746,-1.1106017",,,,,,,
313,START,",",,,,,,,
314,START POINT,",",,,,,,,
315,SUMBA (OFF JAVA),",",,,,,,,
316,TOWARDS EQUATOR,",",,,,,,,
317,UNKNOWN,",",,,,,,,
318,VOGLE SOUND,",",,,,,,,
319,WOAHOO,",",,,,,,,
320,ST THOMAS,"0.1143916,6.3994298",,,,,,,
321,ST THOMAS (SAO TOME),"0.1143916,6.3994298",,,,,,,
322,"ST THOMAS, GULF OF GUINEA","0.1143916,6.3994298",,,,,,,
323,Sao Tome,"0.3419787,6.6924397",,,,,,,
324,san thome,"0.3419787,6.6924397",,,,,,,
325,ANNA DE CHACES,"0.3483095,6.7252314",,,,,,,
326,(GILOLO) HALMAHIRA,"0.6532802,127.0261092",,,,,,,
327,Ternate,"0.7929562,127.3481705",,,,,,,
328,Cape San Francisco,"0.8221797,-80.0665064",,,,,,,
329,Cape St. Francisco,"0.8221797,-80.0665064",,,,,,,
330,Cabo de San Francisco,"0.8221797,-80.0665064",,,,,,,
331,Cape S. Francisco,"0.8221797,-80.0665064",,,,,,,
332,Princes Island,"0.8986027,6.4316661",,,,,,,
333,Princes Island and Annobon,"0.8986027,6.4316661",,,,,,,
334,Princes Island and Sao Tome,"0.8986027,6.4316661",,,,,,,
335,Corisco,"0.9130891,9.3095893",,,,,,,
336,Corisco and Princes Island,"0.9130891,9.3095893",,,,,,,
337,singapore,"1.3139961,103.7038226",,,,,,,
338,Borneo,"1.4359514,109.5481303",,,,,,,
339,MALACCA STRAITS,"1.4838765,102.423962",,,,,,,Y
340,Malacca,"2.2373785,102.2163985",,,,,,,
341,Straits of Malacca,"1.4838765,102.423962",,Y,,,,,
342,Sunda,"1.4838765,102.423962",,,,,,,
343,Rio Pongo,"10.0540504,-14.07388",,,,,,,
344,Nicoya,"10.1494207,-85.471101",,,,,,,
345,Windward Coast (Nunez - Assini),"10.2634904,-14.6686527",Y,,,,,,
346,"Windward Coast, port unspecified","10.2634904,-14.6686527",Y,,,,,,
347,Cartagena,"10.4001968,-75.5436307",,,,,,,
348,Cartagene,"10.4001968,-75.5436307",,,,,,,
349,Borburata,"10.4340619,-67.9764247",,,,,,,
350,TRINDADA,"10.4430254,-61.7011464",,,,,,,
351,"Trinidad, port unspecified","10.4430254,-61.7011464",,,,,,,
352,TRINIDADA,"10.4430254,-61.7011464",,,,,,,
353,Trinidad,"10.4430254,-61.7011464",,,,,,,
354,Caraccos,"10.4683612,-67.0304519",,,,,,,
355,Caracas,"10.4683841,-66.9605774",,,,,,,
356,La Guaira,"10.585189,-66.9432105",,,,,,,
357,La Guaira,"10.585189,-66.9432105",,,,,,,
358,NAGAPATAM,"10.77958,79.7893555",,,,,,,
359,NAGAPATAN,"10.77958,79.7893555",,,,,,,
360,NAGAPATRAM,"10.77958,79.7893555",,,,,,,
361,Rio Nunez,"10.818286,-14.5991816",,,,,,,
362,Panay,"11.1722674,121.9424536",,,,,,,
363,Santa Marta,"11.2315247,-74.1999495",,,,,,,
364,Santa Martha,"11.2315247,-74.1999495",,,,,,,
365,"Tobago, port unspecified","11.2402805,-60.751777",,,,,,,
366,Tabago,"11.2402805,-60.751777",,,,,,,
367,Tobago,"11.2402805,-60.751777",,,,,,,
368,Bissagos,"11.3534804,-16.5384558",,,,,,,
369,Gallinhas,"11.4720708,-16.0252766",,,,,,,
370,Rio de la Hacha,"11.5344405,-72.9322088",,Y,,,,,
371,Rio la Hacha,"11.5344405,-72.9322088",,Y,,,,,
372,Rio de la Hacha,"11.5344405,-72.9322088",,Y,,,,,
373,Rio Grande,"11.5492011,-15.2781678",,Y,,,,,
374,Rio Grande,"11.5492011,-15.2781678",,Y,,,,,
375,Philippine Islands,"11.286023,123.3317783",Y,,,,,,
376,Philippines,"11.286023,123.3317783",Y,,,,,,
377,FORT ST DAVID,"11.7386589,79.7778688",,,,,,,
378,FORT ST DAVID ROAD (MADRAS),"11.7386589,79.7778688",,,,,,,
379,FORT ST DAVIDS ROAD,"11.7386589,79.7778688",,,,,,,
380,CUDDALORE,"11.7508648,79.757899",,,,,,,
381,TELLICHERRY,"11.7652753,75.4827689",,,,,,,
382,TELLYCHERRY,"11.7652753,75.4827689",,,,,,,
383,TILLECHERRY ROAD,"11.7652753,75.4827689",,,,,,,
384,TILLICHERRY,"11.7652753,75.4827689",,,,,,,
385,TILLICHERRY FLAG,"11.7652753,75.4827689",,,,,,,
386,CANNANORE,"11.8666442,75.3610867",,,,,,,
387,Bissau,"11.8695447,-15.6474286",,,,,,,
388,PONDICHERRY,"11.9362948,79.7959755",,,,,,,
389,Pondicherry,"11.9362948,79.7959755",,,,,,,
390,Ponticheri,"11.9362948,79.7959755",,,,,,,
391,"ST GEORGES BAY, GRENADA","12.053968,-61.7544788",,,,,,,
392,Andaman Islands,"12.0683384,91.5375586",,,,,,,
393,Cambodia,"12.1431722,103.8566782",Y,,,,,,
394,Coromandel,"12.2053,79.930451",,,,,,,
395,Coromandel Coast,"12.2053,79.930451",,,,,,,
396,Curacao,"12.2082644,-69.0734273",,,,,,,
397,Querisao,"12.2082644,-69.0734273",,,,,,,
398,Little Querisao,"12.2082644,-69.0734273",,,,,,,
399,"Grenada, port unspecified","12.2597668,-61.7307272",,,,,,,
400,Cacheu,"12.2670228,-16.1730552",,,,,,,
401,MERGUI ROAD (BAY OF BENGAL),"12.4519706,98.5862232",,,,,,,
402,SOCOTRA?,"12.5070558,53.6389797",,,,,,,
403,Aruba,"12.5183463,-70.0375005",,,,,,,
404,SADERASS,"12.5256559,80.161427",,,,,,,
405,Ria Lexa,"12.5441852,-87.1696473",,Y,,,,,
406,Rea Lejo,"12.5441852,-87.1696473",,Y,,,,,
407,Ria Lexa Town,"12.5441852,-87.1696473",,Y,,,,,
408,Rio Lexa,"12.5441852,-87.1696473",,Y,,,,,
409,Rio Lexa Creek,"12.5441852,-87.1696473",,Y,,,,,
410,St. Andreas,"12.5767134,-81.7139302",,,,,,,
411,St. John's Island,"12.5981338,124.3646603",,,,,,,
412,Casamance,"12.7713495,-16.2299003",,,,,,,
413,GULF OF ADEN,"12.7790124,44.9829354",,Y,,,,,
414,ADEN,"12.810289,44.9804618",,,,,,,
415,Nicaragua,"12.8665024,-86.1416337",,,,,,,
416,Mindoro,"12.8684617,120.3667825",,,,,,,
417,MANGALORE,"12.9229828,74.7818521",,,,,,,
418,Point Casivina,"12.9816213,-87.7285982",,,,,,,
419,MADAS,"13.0474876,80.0685845",,,,,,,
420,MADRAS,"13.0474876,80.0685845",,,,,,,
421,MADRAS VIA JOHANNA,"13.0474876,80.0685845",,,,,,,
422,Madras,"13.0474876,80.0685845",,,,,,,
423,FORT ST GEORGE,"13.0800175,80.2806713",,,,,,,
424,FORT ST GEORGES,"13.0800175,80.2806713",,,,,,,Y
425,Saint John (Antigua),"17.1255124,-61.8536711",,,,,,,
426,ST JOHN'S ANTIGUA,"17.1255124,-61.8536711",,,,,,,
427,ST JOHNS,"17.1255124,-61.8536711",,,,,,,
428,ST JOHNS (ANTIGUA),"17.1255124,-61.8536711",,,,,,,
429,ST JOHNS (CRUISING),"17.1255124,-61.8536711",,,,,,,
430,ST JOHNS ANTIGUA,"17.1255124,-61.8536711",,,,,,,
431,ST JOHNS ON A CRUISE TO BERMUDA AND BACK,"17.1255124,-61.8536711",,,,,,,
432,ST JOHNS ROAD (ANTIGUA),"17.1255124,-61.8536711",,,,,,,
433,"ST JOHNS, ANTIGUA","17.1255124,-61.8536711",,,,,,,
434,"ST JOHNS, CRUISING GRAND BANKS","17.1255124,-61.8536711",,,,,,,
435,Fort St. George,"13.0800175,80.2806713",,,,,,,
436,"CALISLE BAY, BARBADOS","13.0876503,-59.6203887",,Y,,,,,
437,CARLISE BAY,"13.0876503,-59.6203887",,Y,,,,,
438,CARLISE BAY BARBADOES,"13.0876503,-59.6203887",,Y,,,,,
439,CARLISE BAY BARBADOS,"13.0876503,-59.6203887",,Y,,,,,
440,CARLISE BAY VIA FUNCHAL,"13.0876503,-59.6203887",,Y,,,,,
441,CARLISLE BAY,"13.0876503,-59.6203887",,Y,,,,,
442,CARLISLE BAY (BARBADOES),"13.0876503,-59.6203887",,Y,,,,,
443,CARLISLE BAY BARBADOS,"13.0876503,-59.6203887",,Y,,,,,
444,"CARLISLE BAY, BARBADOS","13.0876503,-59.6203887",,Y,,,,,
445,St. Michael's Mount,"13.1583722,-87.900909",,,,,,,
446,Mangera,"13.1865307,-87.7272249",,,,,,,
447,BARBADOES,"13.1881671,-59.6054669",,,,,,,
448,BARBADOS,"13.1881671,-59.6054669",,,,,,,
