latitude,longitude
60.3,-55.53
60.3,-55.7
60.3,-57.45
60.3,-58.08
60.3,-59.91
60.28,-7.87
60.28,-54.88
60.28,-58.42
60.28,-60.86
60.27,1.58
60.27,-13.12
60.27,-53.48
60.27,-57.6
60.27,-61.14
60.25,-9.88
60.25,-14.18
60.25,-28.51
60.25,-57.33
60.23,-0.93
60.23,-14.18
60.22,-16.18
60.22,-55.52
60.2,-22.03
60.2,-54.17
60.2,-54.67
60.18,-7.17
60.18,-15.57
60.18,-21.73
60.18,-51.3
60.18,-56.24
60.17,-12.63
60.17,-25.02
60.17,-58.67
60.17,-61.11
60.15,-53.52
60.15,-54.28
60.15,-55.94
60.15,-62.88
60.13,-5.53
60.13,-13.42
60.13,-19.66
60.13,-27.43
60.13,-55.17
60.13,-59.4
60.12,-2.12
60.12,-52.96
60.1,-24.74
60.1,-61.4
60.08,-9.37
60.08,-12.82
60.07,-11.09
60.07,-15.12
60.07,-17.68
60.07,-20.78
60.07,-56.9
60.07,-56.97
60.05,-2.81
60.05,-4.43
60.05,-24.47
60.05,-52.4
60.05,-55.07
60.05,-55.4
60.03,-55.15
60.02,-54.1
60.02,-55.02
60.02,-61.4
60,-6.37
60,-8
60,-8.57
60,-54.4
60,-63.28
59.98,-9.78
59.98,-10.41
59.98,-57.42
59.97,-23.72
59.97,-55.69
59.97,-59.87
59.95,-14.12
59.95,-19.15
59.95,-51.97
59.95,-53.73
59.95,-55.2
59.93,-7.55
59.93,-55.07
59.93,-56.03
59.92,-6.77
59.92,-9.8
59.92,-55.45
59.9,-8.17
59.9,-13.2
59.9,-25.05
59.9,-29.57
59.88,-7.4
59.88,-9.19
59.88,-18.67
59.88,-54.37
59.88,-55.07
59.87,-13.53
59.87,-52.35
59.87,-52.95
59.87,-53.56
59.87,-54.97
59.87,-58.09
59.87,-58.49
59.87,-59.09
59.85,-22.1
59.85,-22.83
59.83,-3.97
59.83,-14.18
59.83,-55.55
59.83,-57.04
59.83,-58.48
59.82,-6.08
59.82,-6.1
59.82,-50.15
59.82,-55.57
59.82,-56.4
59.82,-56.75
59.8,-8.21
59.8,-9.62
59.8,-11.36
59.8,-16.07
59.8,-52.31
59.8,-55.63
59.8,-148.5
59.78,-6.23
59.78,-23.14
59.78,-24.82
59.78,-55.1
59.78,-58.02
59.78,-147
59.78,-148.33
59.77,-15.03
59.77,-16.68
59.77,-32.17
59.77,-52.87
59.77,-53.9
59.77,-54.01
59.76,-10.2
59.75,-12.92
59.75,-21.15
59.75,-25.52
59.73,-7.63
59.73,-9.11
59.73,-11.94
59.73,-14.35
59.73,-15.62
59.73,-24.52
59.73,-52.38
59.72,-3.67
59.72,-10.72
59.72,-14.1
59.72,-14.97
59.72,-16.62
59.7,-7.98
59.7,-8.62
59.7,-11.72
59.7,-22.77
59.7,-23.57
59.7,-32.02
59.7,-50.99
59.7,-51.78
59.7,-57.21
59.7,-148.4
59.68,-14.02
59.68,-23.57
59.68,-53.93
59.67,-7.64
59.67,-8.81
59.67,-9.02
59.67,-9.15
59.67,-15.79
59.67,-23.77
59.67,-50.96
59.65,-11.58
59.65,-31.56
59.65,-50.45
59.63,-3.64
59.63,-16.52
59.63,-18.62
59.63,-53.52
59.62,-6.25
59.62,-6.47
59.62,-7.02
59.62,-10.62
59.62,-15.03
59.62,-52.03
59.62,-54.66
59.62,-56.18
59.62,-58.07
59.6,-15.57
59.6,-20.13
59.6,-24.36
59.6,-25.28
59.6,-53.34
59.6,-55.5
59.6,-59.66
59.58,-29.92
59.58,-51.77
59.58,-54.57
59.58,-55.76
59.57,-17.85
59.57,-53.45
59.57,-55.29
59.55,-5.4
59.55,-11.77
59.55,-15.38
59.55,-16.82
59.55,-19.8
59.55,-20.15
59.55,-39.69
59.55,-52.98
59.55,-53.4
59.53,-6.09
59.53,-6.57
59.53,-24.72
59.53,-50.27
59.53,-53.16
59.53,-54.47
59.53,-151.83
59.52,-4.42
59.52,-6.62
59.52,-17.29
59.5,-5.8
59.5,-9.26
59.5,-12.15
59.5,-17.06
59.5,-25.39
59.5,-52.38
59.5,-53.58
59.5,-55.38
59.48,-8.27
59.48,-31.86
59.48,-51.88
59.48,-55.16
59.47,-16.35
59.47,-49.81
59.47,-59.02
59.45,-8.86
59.45,-9.61
59.45,-10.65
59.45,-21.28
59.45,-28.62
59.45,-50.41
59.45,-55.87
59.45,-58.45
59.45,-149.32
59.43,-8.82
59.43,-22.5
59.42,-6.82
59.42,-7.73
59.42,-12.55
59.42,-19.83
59.42,-22.57
59.4,-19.87
59.4,-53.97
59.4,-54.01
59.4,-54.42
59.4,-55.22
59.38,-8.67
59.38,-9.79
59.38,-11.34
59.38,-13.77
59.38,-13.99
59.38,-15.12
59.38,-24.21
59.38,-52.05
59.38,-149.98
59.37,-5.18
59.37,-15.58
59.37,-27.94
59.37,-51.18
59.35,-10.52
59.35,-10.9
59.35,-15.43
59.35,-16.55
59.35,-16.8
59.35,-23.43
59.35,-53.47
59.33,-5
59.33,-11.21
59.33,-14.77
59.33,-15.02
59.33,-19.62
59.33,-54.86
59.32,-4.92
59.32,-6.43
59.32,-9.65
59.32,-13.74
59.32,-20.28
59.32,-24.22
59.32,-26.78
59.32,-51.71
59.32,-52.12
59.32,-52.92
59.32,-59.7
59.3,-6.02
59.3,-9.75
59.3,-13.92
59.3,-15.4
59.3,-24.45
59.3,-49.08
59.3,-49.14
59.28,-3.85
59.28,-19.17
59.28,-20.8
59.28,-22.75
59.28,-27.19
59.28,-29.98
59.27,-7
59.27,-7.91
59.27,-19.46
59.27,-30.72
59.27,-30.78
59.27,-50
59.27,-50.03
59.27,-53.37
59.27,-55.25
59.25,-11.08
59.25,-11.77
59.25,-18.77
59.25,-52.78
59.25,-58.38
59.25,-148
59.23,-4.55
59.23,-8.37
59.23,-9.33
59.23,-9.75
59.23,-10.92
59.23,-13.63
59.23,-16.62
59.23,-22.74
59.23,-23.55
59.23,-34.91
59.23,-36.17
59.23,-50.98
59.22,-9.36
59.22,-9.92
59.22,-16.84
59.22,-18.67
59.22,-19.19
59.22,-50.11
59.22,-52.09
59.22,-140.67
59.2,-7.12
59.2,-8.78
59.2,-11.55
59.2,-15.89
59.2,-16.47
59.2,-18.37
59.2,-37.75
59.2,-49.35
59.2,-50.48
59.2,-51.25
59.2,-51.37
59.2,-53.25
59.2,-60.03
59.2,-147.52
59.18,-3.43
59.18,-5.58
59.17,-5.13
59.17,-13.22
59.17,-17.94
59.17,-21.23
59.17,-21.71
59.17,-21.73
59.17,-23.64
59.17,-29.27
59.17,-50.48
59.17,-52.83
59.17,-148.4
59.15,-4.26
59.15,-5.03
59.15,-8.55
59.15,-14.99
59.15,-17.53
59.15,-27.87
59.15,-28.97
59.15,-47.29
59.15,-53
59.15,-145.28
59.15,-146.33
59.13,-8.55
59.13,-9.54
59.13,-11.67
59.13,-16.31
59.13,-18.77
59.13,-24.52
59.13,-35.07
59.13,-47.5
59.13,-48.57
59.13,-50.55
59.12,-11.7
59.12,-18.02
59.12,-18.25
59.12,-51.45
59.1,-5.17
59.1,-7.43
59.1,-7.55
59.1,-9.2
59.1,-9.67
59.1,-9.83
59.1,-10.59
59.1,-12.68
59.1,-19.63
59.1,-20.15
59.1,-21.3
59.1,-49.28
59.1,-54.92
59.1,-150.18
59.08,-4.57
59.08,-11.23
59.08,-12.04
59.08,-13.82
59.08,-15.62
59.08,-20.26
59.08,-22.83
59.08,-25.83
59.08,-32.32
59.08,-32.35
59.08,-47.92
59.08,-50.72
59.08,-51.8
59.08,-53.5
59.07,-3.42
59.07,-4.74
59.07,-6.22
59.07,-8
59.07,-10.01
59.07,-10.72
59.07,-12.95
59.07,-17.45
59.07,-18.82
59.07,-23.16
59.07,-23.47
59.07,-51.73
59.05,-5.32
59.05,-6.5
59.05,-11.81
59.05,-15.52
59.05,-52
59.05,-145.64
59.05,-147.27
59.03,-1.82
59.03,-5.96
59.03,-6.18
59.03,-7.55
59.03,-8.26
59.03,-9.22
59.03,-11.03
59.03,-12.77
59.03,-13.54
59.03,-23.35
59.03,-51.02
59.03,-53.09
59.03,-54.33
59.03,-54.79
59.03,-56.14
59.02,-7.08
59.02,-8.94
59.02,-9.37
59.02,-11.78
59.02,-12.02
59.02,-14.65
59.02,-19.13
59.02,-26.38
59.02,-47.85
59.02,-51.37
59.02,-147.59
59,-1.46
59,-6.79
59,-7
59,-9.92
59,-10.1
59,-14.91
59,-20.42
59,-22.26
59,-27.98
59,-32.17
59,-50.09
59,-145.72
58.98,-4.96
58.98,-15.27
58.98,-28.33
58.97,-5.52
58.97,-5.6
58.97,-17.45
58.97,-21.62
58.97,-25.28
58.97,-27.81
58.97,-50.73
58.96,-4.04
58.95,-3.24
58.95,-3.73
58.95,-6
58.95,-15.67
58.95,-16.21
58.95,-49.27
58.95,-50.05
58.95,-54.25
58.95,-148
58.94,-4.7
58.93,-4.25
58.93,-4.4
58.93,-4.63
58.93,-5.57
58.93,-6.16
58.93,-11.1
58.93,-17.7
58.93,-28.67
58.93,-50.31
58.93,-52.32
58.93,-53.72
58.92,-5.02
58.92,-10.74
58.92,-12.27
58.92,-14.38
58.92,-20.17
58.92,-22.56
58.92,-32.82
58.92,-48.15
58.92,-50.78
58.9,-3.77
58.9,-7.76
58.9,-7.93
58.9,-8.27
58.9,-16.45
58.9,-16.55
58.9,-51.32
58.9,-54.48
58.9,-142.17
58.88,-8.88
58.88,-9.02
58.88,-16.37
58.88,-19.77
58.88,-21.82
58.88,-28.17
58.88,-50.8
58.87,-20.57
58.87,-51.2
58.87,-51.37
58.85,-6.07
58.85,-6.75
58.85,-17.01
58.85,-28.83
58.83,-5.43
58.83,-6.49
58.83,-9.52
58.83,-10.83
58.83,-21.2
58.83,-33.63
58.83,-48.23
58.83,-53.07
58.82,0.04
58.82,-4.66
58.82,-7.26
58.82,-10.68
58.82,-13.79
58.82,-24.19
58.82,-30.19
58.82,-39.5
58.82,-46.42
58.82,-49.75
58.82,-50.58
58.82,-140.73
58.8,-8.03
58.8,-8.82
58.8,-12.21
58.8,-17.65
58.8,-21.37
58.8,-30.69
58.8,-36.9
58.8,-45.9
58.8,-51.72
58.78,-4.55
58.78,-10.43
58.78,-11.72
58.78,-12.87
58.78,-17.37
58.78,-19.7
58.78,-32.22
58.77,-11.08
58.77,-11.75
58.77,-25.78
58.77,-47.77
58.77,-52.68
58.77,-54.42
58.75,-4.62
58.75,-11.93
58.75,-23.98
58.75,-41.69
58.75,-49.02
58.75,-50.37
58.75,-51.55
58.75,-152.21
58.73,-6.52
58.73,-9.35
58.73,-49.7
58.73,-51.63
58.73,-52.92
58.72,-27.23
58.72,-35.88
58.72,-47.7
58.72,-48.11
58.72,-49.42
58.72,-50.51
58.72,-51.37
58.72,-146.75
58.7,-8.29
58.7,-14.65
58.7,-15.07
58.7,-27.87
58.7,-28.8
58.7,-46.11
58.7,-49.17
58.7,-49.42
58.7,-49.9
58.7,-50.38
58.68,-10.53
58.68,-16.17
58.68,-24.7
58.68,-43.18
58.68,-47.12
58.68,-50.28
58.68,-53.25
58.67,-15.77
58.67,-17.72
58.67,-18.19
58.67,-18.45
58.67,-27.42
58.67,-27.51
58.67,-29.03
58.67,-37.25
58.67,-44.62
58.65,-18.64
58.65,-34.42
58.65,-34.47
58.65,-48.73
58.65,-151.23
58.63,-8.91
58.63,-9.35
58.63,-11.27
58.63,-12.35
58.63,-12.62
58.63,-16.97
58.63,-23.32
58.63,-25.83
58.63,-34.78
58.63,-51.82
58.63,-53.28
58.62,-11.75
58.62,-19.85
58.62,-43.45
58.62,-51.67
58.6,-14
58.6,-14.77
58.6,-23.55
58.6,-25.5
58.6,-27.63
58.6,-27.63
58.6,-32.01
58.58,-6.53
58.58,-9.87
58.58,-10.97
58.58,-13.17
58.58,-14.22
58.58,-50.28
58.58,-52.28
58.57,-9.38
58.57,-12.47
58.57,-31.7
58.57,-52.74
58.57,-53.87
58.57,-150.22
58.55,-20.62
58.55,-30.08
58.55,-42.21
58.55,-46
58.55,-46.83
58.55,-47.36
58.53,-11.22
58.53,-14.75
58.53,-16.73
58.53,-32.52
58.53,-49.47
58.53,-50.07
58.53,-52.8
58.53,-139.05
58.52,-19.37
58.52,-21.12
58.52,-36.58
58.52,-41.05
58.52,-43.97
58.52,-46.34
58.52,-50.94
58.52,-53.35
58.52,-55.61
58.52,-58.62
58.5,-8.47
58.5,-20.18
58.5,-23.77
58.5,-25.1
58.5,-28.15
58.5,-29.42
58.5,-33.09
58.5,-48.57
58.5,-53.76
58.48,-11.28
58.48,-49.18
58.47,-7.8
58.47,-27
58.47,-50.26
58.47,-144.7
58.45,-20.25
58.45,-21.04
58.45,-22.3
58.45,-45.63
58.45,-55.95
58.45,-143.82
58.43,-9.82
58.43,-11.62
58.43,-25.63
58.43,-27.95
58.43,-34.21
58.43,-45.76
58.43,-46.73
58.43,-47.85
58.43,-49.76
58.43,-51.62
58.43,-138.6
58.43,-146.65
58.42,-12.43
58.42,-50.82
58.42,-52.17
58.4,-12.83
58.4,-22.37
58.4,-25.32
58.4,-31.43
58.4,-35.22
58.4,-39.87
58.4,-50.69
58.4,-51.47
58.38,-21.77
58.38,-24.32
58.38,-31.05
58.38,-40.09
58.38,-45.57
58.38,-47.22
58.38,-53.87
58.38,-54.63
58.38,-139.13
58.37,-19.68
58.37,-19.77
58.37,-22.92
58.37,-25.02
58.37,-31.87
58.37,-47.5
58.35,-17.91
58.35,-24.3
58.35,-45.75
58.35,-49.47
58.35,-51.27
58.35,-56.98
58.33,-25.38
58.33,-26.1
58.33,-31.42
58.33,-34.73
58.33,-41.4
58.33,-48.3
58.32,-26.45
58.32,-26.56
58.32,-28.58
58.32,-37.14
58.32,-46.07
58.3,-6.25
58.3,-14.02
58.3,-14.2
58.3,-15.75
58.3,-20.44
58.3,-27.52
58.3,-36.17
58.3,-46.94
58.3,-50.42
58.28,-12.12
58.28,-13.23
58.28,-23.6
58.28,-27.9
58.28,-31.48
58.28,-38.52
58.28,-46.97
58.28,-48.4
58.27,-8.88
58.27,-16.55
58.27,-26.87
58.27,-29.53
58.25,-13.1
58.25,-13.37
58.25,-17.97
58.25,-33.98
58.25,-52.7
58.25,-138.73
58.23,-13.76
58.23,-20.53
58.23,-37.16
58.23,-46.43
58.23,-48.03
58.23,-56.5
58.22,-46.97
58.22,-145.78
58.2,-32.11
58.2,-35.56
58.2,-35.77
58.2,-36.52
58.2,-42.3
58.2,-53.05
58.18,-14.97
58.18,-21.97
58.18,-43.47
58.18,-45.08
58.18,-46.27
58.18,-51.09
58.17,-8.4
58.17,-8.62
58.17,-13.13
58.17,-22.12
58.17,-28.6
58.17,-33.48
58.17,-40.01
58.17,-41.48
58.17,-46.72
58.17,-49.83
58.17,-53.45
58.15,-12.97
58.15,-13.33
58.15,-16.15
58.15,-38.77
58.15,-39.4
58.15,-49.12
58.15,-145.57
58.13,-14.93
58.13,-42.15
58.13,-44
58.13,-48.78
58.13,-50.53
58.13,-145.34
58.12,-10.84
58.12,-16.68
58.12,-29.92
58.12,-36.45
58.12,-45.3
58.12,-48.36
58.1,-20.75
58.1,-22.44
58.1,-23.29
58.1,-25.3
58.1,-25.48
58.1,-29.75
58.1,-36.33
58.1,-49.95
58.08,-14.75
58.08,-22.34
58.08,-27.57
58.08,-38.83
58.08,-39.55
58.08,-43.92
58.08,-47.65
58.08,-137.8
58.08,-141.1
58.07,-19.07
58.07,-38.8
58.07,-40.66
58.07,-41.27
58.07,-48.02
58.07,-50.26
58.07,-50.85
58.05,-15.27
58.05,-19.98
58.05,-29.52
58.05,-35.92
58.05,-40.82
58.05,-46.72
58.05,-50.39
58.03,-30.75
58.03,-36.97
58.03,-43.81
58.03,-44.12
58.03,-47.55
58.03,-50.53
58.02,-32.43
58.02,-45.88
58.02,-48.35
58.02,-50.44
58,-10.22
58,-18.5
58,-22.3
58,-38.28
58,-39.85
57.98,-9.24
57.98,-30.03
57.98,-30.63
57.98,-31.67
57.98,-37.89
57.98,-40.97
57.98,-47.36
57.98,-48.29
57.98,-141.42
57.97,-11.95
57.97,-19.95
57.97,-23.95
57.97,-28.62
57.97,-34.78
57.97,-35.95
57.97,-41.89
57.97,-43.12
57.97,-47.76
57.97,-50.61
57.95,-17.3
57.95,-32.47
57.95,-34.85
57.95,-44.03
57.95,-51.45
57.93,-19.07
57.93,-25.45
57.93,-45.38
57.93,-46.79
57.93,-49.24
57.92,-16.2
57.92,-41.1
57.92,-42.87
57.92,-44.52
57.92,-45.73
57.9,-20.17
57.9,-26.45
57.9,-33.2
57.9,-36.9
57.9,-37.28
57.9,-37.37
57.9,-38.46
57.9,-40.55
57.9,-47.88
57.9,-51.5
57.9,-54.96
57.88,-42.85
57.88,-49.93
57.88,-138
57.87,-16.48
57.87,-22.29
57.87,-39.13
57.87,-49.77
57.87,-52.63
57.85,-25.94
57.85,-40.11
57.85,-45.97
57.85,-46.32
57.83,-13.42
57.83,-14.68
57.83,-20.1
57.83,-32.94
57.83,-36.4
57.82,-39.78
57.82,-41.97
57.82,-44.62
57.82,-45.57
57.82,-46.52
57.8,-13.3
57.8,-22.03
57.8,-23.15
57.8,-41.57
57.78,-28.58
57.78,-41.48
57.77,-18
57.77,-24.7
57.77,-41.02
57.77,-41.48
57.75,-41.6
57.75,-41.92
57.75,-47.72
57.73,-24.05
57.73,-36.62
57.73,-38.22
57.73,-38.73
57.73,-39.55
57.73,-42.13
57.73,-43.59
57.73,-44.5
57.73,-47
57.73,-47.43
57.72,-29.63
57.72,-37.42
57.72,-41.2
57.72,-41.79
57.72,-46.18
57.7,-23.13
57.7,-25.6
57.7,-29.13
57.7,-45.07
57.7,-48.37
57.7,-52.5
57.7,-137.7
57.68,-15.98
57.68,-43.12
57.68,-46.53
57.68,-48.26
57.68,-51.02
57.68,-144.96
57.67,-19.35
57.67,-21.05
57.67,-28.73
57.67,-36.73
57.67,-42.27
57.67,-47.04
57.67,-47.67
57.65,-26.3
57.65,-27.28
57.65,-30.8
57.65,-32.52
57.65,-46.55
57.65,-46.65
57.63,-18.12
57.63,-19.82
57.63,-28.12
57.63,-30.57
57.63,-32.18
57.63,-35.45
57.63,-47
57.62,-17.82
57.62,-29.33
57.62,-37.35
57.62,-40.83
57.62,-41.1
57.62,-46.22
57.62,-47.74
57.62,-49.43
57.6,-17.68
57.6,-24.97
57.6,-27.37
57.6,-31.42
57.6,-33.1
57.6,-43.1
57.6,-44.07
57.6,-44.39
57.58,-26.62
57.58,-34.57
57.58,-38.93
57.58,-39.62
57.58,-44.48
57.58,-46.72
57.58,-137.2
57.57,-13.3
57.57,-16.97
57.57,-21.95
57.57,-32.48
57.57,-33.37
57.57,-34.98
57.57,-49.29
57.57,-50.01
57.55,-28.7
57.55,-28.85
57.55,-37.42
57.55,-38.52
57.55,-43.78
57.55,-50.94
57.53,-27.1
57.53,-28.04
57.53,-28.25
57.53,-29.98
57.53,-33.77
57.53,-37.92
57.53,-43.95
57.53,-46.31
57.53,-46.45
57.53,-51.36
57.52,-14.05
57.52,-23.28
57.52,-30.4
57.52,-32.69
57.52,-54.45
57.5,-16.25
57.5,-22.8
57.5,-26.3
57.5,-38.42
57.5,-50.17
57.48,-12.08
57.48,-15.53
57.48,-33.05
57.48,-33.95
57.48,-43.59
57.48,-44.09
57.48,-47.7
57.47,-13.38
57.47,-26.3
57.47,-26.95
57.47,-36.98
57.47,-39.68
57.47,-42.07
57.47,-44.63
57.45,-36.7
57.45,-43.27
57.45,-43.47
57.45,-45.23
57.45,-49.87
57.43,-19.72
57.43,-29.87
57.43,-35.52
57.43,-37.78
57.43,-38.88
57.43,-43.8
57.43,-45.04
57.43,-48.36
57.43,-49.91
57.42,-25.97
57.42,-26.45
57.42,-34.68
57.42,-39.77
57.4,-27.55
57.4,-28.67
57.4,-30.97
57.4,-33.77
57.4,-44.23
57.4,-47.07
57.4,-54.06
57.38,-15.1
57.38,-29.63
57.38,-30.68
57.38,-30.78
57.38,-32.77
57.38,-34.65
57.38,-35.43
57.38,-42.18
57.38,-47.27
57.37,-25.73
57.37,-32.11
57.37,-37.53
57.37,-40.43
57.37,-43.98
57.37,-50.37
57.35,-30.31
57.35,-32.42
57.35,-33.3
57.35,-49.47
57.33,-16.88
57.33,-26.7
57.33,-27.4
57.33,-34.03
57.33,-36.83
57.33,-40.38
57.33,-40.95
57.33,-49.38
57.32,-16.97
57.32,-36.68
57.32,-41.42
57.32,-41.98
57.3,-32.12
57.3,-37.67
57.3,-42.18
57.3,-42.21
57.3,-45.21
57.28,-21.62
57.28,-33.58
57.28,-39.4
57.28,-45.01
57.28,-49.82
57.27,-25.02
57.27,-31.3
57.27,-41.57
57.27,-44.5
57.25,-21.3
57.25,-145.51
57.23,-21.4
57.23,-35.61
57.23,-44.5
