***	O
a	O
circle	O
of	O
that	O
length	O
must	O
needs	O
offer	O
.	O

We	O
have	O
a	O
very	O
little	O
account	O
of	O
their	O
landings	O
,	O
their	O
diversions	O
,	O
the	O
accidents	O
which	O
happened	O
to	O
them	O
,	O
or	O
to	O
others	O
by	O
their	O
means	O
;	O
the	O
stories	O
of	O
their	O
engagements	O
,	O
when	O
they	O
have	O
had	O
any	O
scuffle	O
either	O
with	O
natives	O
,	O
or	O
European	O
enemies	O
,	O
are	O
told	O
superficially	O
and	O
by	O
halves	O
;	O
the	O
storms	O
and	O
difficulties	O
at	O
sea	O
or	O
on	O
shore	O
,	O
have	O
nowhere	O
a	O
full	O
relation	O
;	O
and	O
all	O
the	O
rest	O
of	O
their	O
accounts	O
are	O
generally	O
filled	O
up	O
with	O
directions	O
for	O
sailors	O
coming	O
that	O
way	O
,	O
the	O
bearings	O
of	O
the	O
land	O
,	O
the	O
depth	O
of	O
the	O
channels	O
,	O
entrances	O
,	O
and	O
bars	O
,	O
at	O
the	O
several	O
ports	O
,	O
anchorage	O
in	O
the	O
bays	O
,	O
and	O
creeks	O
,	O
and	O
the	O
like	O
things	O
,	O
useful	O
indeed	O
for	O
seamen	O
going	O
thither	O
again	O
,	O
and	O
how	O
few	O
are	O
they	O
?	O

but	O
not	O
at	O
all	O
to	O
the	O
purpose	O
when	O
we	O
come	O
expecting	O
to	O
find	O
the	O
history	O
of	O
the	O
voyage	O
.	O

Another	O
sort	O
of	O
these	O
writers	O
have	O
just	O
given	O
us	O
their	O
long	O
journals	O
,	O
tedious	O
accounts	O
of	O
their	O
log-work	O
,	O
how	O
many	O
leagues	O
they	O
sailed	O
every	O
day	O
;	O
where	O
they	O
had	O
the	O
winds	O
,	O
when	O
it	O
blew	O
hard	O
,	O
and	O
when	O
softly	O
;	O
what	O
latitude	O
in	O
every	O
observation	O
,	O
what	O
meridian	O
distance	O
,	O
and	O
what	O
variation	O
of	O
the	O
compass	O
.	O

Such	O
is	O
the	O
account	O
of	O
Sir	O
John	O
Narborough	O
's	O
Voyage	O
to	O
the	O
South	PNM
Seas	PNM
,	O
adorned	O
with	O
I	O
know	O
not	O
how	O
many	O
charts	O
of	O
the	O
famous	O
Strait	PNM
of	PNM
Magellan	PNM
,	O
a	O
place	O
only	O
now	O
famous	O
for	O
showing	O
the	O
ignorance	O
of	O
Sir	O
John	O
Narborough	O
,	O
and	O
a	O
great	O
many	O
wise	O
gentlemen	O
before	O
him	O
,	O
and	O
for	O
being	O
a	O
passage	O
they	O
had	O
no	O
need	O
to	O
have	O
troubled	O
themselves	O
with	O
,	O
and	O
which	O
nobody	O
will	O
ever	O
go	O
through	O
anymore	O
.	O

Such	O
also	O
are	O
the	O
Voyages	O
of	O
Captain	O
John	O
Wood	O
,	O
to	O
Nova	PNM
Zemla	PNM
,	O
at	O
the	O
charge	O
of	O
the	O
public	O
,	O
in	O
King	O
Charles	O
the	O
Second	O
's	O
time	O
,	O
and	O
Martin	O
Frobisher	O
to	O
the	O
North-West	PNM
Passages	PNM
,	O
in	O
Queen	O
Elizabeth	O
's	O
time	O
;	O
all	O
which	O
,	O
are	O
indeed	O
full	O
of	O
their	O
own	O
journals	O
,	O
and	O
the	O
incidents	O
of	O
sailing	O
,	O
but	O
have	O
little	O
or	O
nothing	O
of	O
story	O
in	O
them	O
,	O
for	O
the	O
use	O
of	O
such	O
readers	O
who	O
never	O
intend	O
to	O
go	O
to	O
sea	O
,	O
and	O
yet	O
such	O
readers	O
may	O
desire	O
to	O
hear	O
how	O
it	O
has	O
fared	O
with	O
those	O
that	O
have	O
,	O
and	O
how	O
affairs	O
stand	O
in	O
those	O
remote	O
parts	O
of	O
the	O
world	O
.	O

For	O
these	O
reasons	O
,	O
when	O
first	O
I	O
set	O
out	O
upon	O
a	O
cruising	O
and	O
trading	O
voyage	O
to	O
the	O
East	O
,	O
and	O
resolved	O
to	O
go	O
anywhere	O
,	O
and	O
everywhere	O
that	O
the	O
advantage	O
of	O
trade	O
or	O
the	O
hopes	O
of	O
purchase	O
should	O
guide	O
us	O
,	O
I	O
also	O
resolved	O
to	O
take	O
such	O
exact	O
notice	O
of	O
everything	O
that	O
past	O
within	O
my	O
reach	O
,	O
that	O
I	O
would	O
be	O
able	O
,	O
if	O
I	O
lived	O
to	O
come	O
home	O
,	O
to	O
give	O
an	O
account	O
of	O
my	O
voyage	O
,	O
differing	O
from	O
all	O
that	O
I	O
had	O
ever	O
seen	O
before	O
,	O
in	O
the	O
nature	O
of	O
the	O
observations	O
,	O
as	O
well	O
as	O
the	O
manner	O
of	O
relating	O
them	O
.	O

And	O
as	O
this	O
is	O
perfectly	O
new	O
in	O
its	O
form	O
,	O
so	O
I	O
can	O
not	O
doubt	O
but	O
it	O
will	O
be	O
agreeable	O
in	O
the	O
particulars	O
,	O
seeing	O
either	O
no	O
voyage	O
ever	O
made	O
before	O
,	O
had	O
such	O
variety	O
of	O
incidents	O
happening	O
in	O
it	O
,	O
so	O
useful	O
and	O
so	O
diverting	O
,	O
or	O
no	O
person	O
that	O
sailed	O
on	O
those	O
voyages	O
,	O
has	O
thought	O
fit	O
to	O
publish	O
them	O
after	O
this	O
manner	O
.	O

Having	O
been	O
fitted	O
out	O
in	O
the	O
river	O
of	O
Thames	O
so	O
lately	O
as	O
the	O
year	O
1713	O
,	O
and	O
on	O
a	O
design	O
perhaps	O
not	O
very	O
consistent	O
with	O
the	O
measures	O
taking	O
at	O
that	O
time	O
for	O
the	O
putting	O
an	O
end	O
to	O
the	O
war	O
,	O
I	O
must	O
be	O
allowed	O
to	O
own	O
I	O
was	O
at	O
first	O
obliged	O
to	O
act	O
not	O
in	O
my	O
own	O
name	O
,	O
but	O
to	O
put	O
in	O
a	O
French	O
commander	O
into	O
the	O
ship	O
,	O
for	O
the	O
reasons	O
which	O
follow	O
,	O
and	O
which	O
those	O
,	O
who	O
understand	O
the	O
manner	O
of	O
trade	O
upon	O
closing	O
the	O
late	O
war	O
,	O
I	O
mean	O
the	O
trade	O
with	O
Spain	O
,	O
will	O
easily	O
allow	O
to	O
be	O
just	O
and	O
well	O
grounded	O
.	O

During	O
the	O
late	O
war	O
between	O
Great	PNM
Britain	PNM
and	O
her	O
confederates	O
on	O
one	O
side	O
,	O
and	O
the	O
united	O
crowns	O
of	O
France	PNM
and	O
Spain	PNM
on	O
the	O
other	O
,	O
we	O
all	O
know	O
the	O
French	O
had	O
a	O
free	O
trade	O
into	O
the	O
South	PNM
Seas	PNM
;	O
a	O
trade	O
carried	O
on	O
with	O
the	O
greatest	O
advantage	O
,	O
and	O
to	O
the	O
greatest	O
degree	O
,	O
that	O
any	O
particular	O
commerce	O
has	O
been	O
carried	O
on	O
in	O
the	O
world	O
for	O
many	O
ages	O
past	O
;	O
insomuch	O
,	O
that	O
we	O
found	O
the	O
return	O
of	O
silver	O
that	O
came	O
back	O
to	O
France	PNM
by	O
those	O
ships	O
,	O
was	O
not	O
only	O
the	O
enriching	O
of	O
the	O
merchants	O
of	O
St.	PNM
Malo	PNM
,	PNM
Rochelle	PNM
,	O
and	O
other	O
ports	O
in	O
France	PNM
,	O
some	O
of	O
whom	O
we	O
saw	O
get	O
immense	O
estates	O
in	O
a	O
few	O
years	O
,	O
even	O
to	O
a	O
million	O
sterling	O
a	O
man	O
;	O
but	O
it	O
was	O
evident	O
,	O
the	O
King	O
of	O
France	PNM
himself	O
was	O
enabled	O
,	O
by	O
the	O
circulation	O
of	O
so	O
much	O
bullion	O
through	O
his	O
mints	O
,	O
to	O
carry	O
on	O
that	O
war	O
with	O
very	O
great	O
advantage	O
.	O

It	O
was	O
just	O
at	O
the	O
close	O
of	O
this	O
war	O
,	O
when	O
some	O
merchants	O
of	O
London	PNM
,	O
looking	O
with	O
envy	O
on	O
the	O
success	O
of	O
that	O
trade	O
,	O
and	O
how	O
the	O
French	O
,	O
notwithstanding	O
the	O
peace	O
,	O
would	O
apparently	O
carry	O
it	O
on	O
,	O
for	O
some	O
years	O
at	O
least	O
,	O
to	O
infinite	O
advantage	O
,	O
began	O
to	O
consider	O
whether	O
it	O
might	O
not	O
be	O
possible	O
to	O
come	O
in	O
for	O
a	O
portion	O
of	O
it	O
with	O
France	O
,	O
as	O
they	O
were	O
allied	O
to	O
Spain	PNM
,	O
and	O
yet	O
go	O
abroad	O
in	O
the	O
nature	O
of	O
a	O
private	O
cruiser	O
.	O

To	O
bring	O
this	O
to	O
pass	O
,	O
it	O
was	O
thought	O
proper	O
,	O
in	O
the	O
first	O
place	O
,	O
to	O
get	O
a	O
share	O
if	O
possible	O
,	O
in	O
a	O
new	O
design	O
of	O
an	O
East	O
India	PNM
trade	O
in	O
Flanders	O
,	O
just	O
then	O
intended	O
to	O
be	O
set	O
up	O
by	O
some	O
British	O
merchants	O
,	O
by	O
the	O
assistance	O
of	O
an	O
imperial	O
charter	O
,	O
or	O
at	O
least	O
under	O
colour	O
of	O
it	O
:	O
and	O
so	O
we	O
might	O
go	O
to	O
sea	O
in	O
a	O
threefold	O
capacity	O
,	O
to	O
be	O
made	O
use	O
of	O
as	O
occasion	O
might	O
present	O
,	O
viz.	O
,	O
when	O
on	O
the	O
coast	O
of	O
New	PNM
Spain	PNM
we	O
sought	O
to	O
trade	O
,	O
we	O
were	O
Frenchmen	O
,	O
had	O
a	O
French	O
captain	O
,	O
and	O
a	O
sufficient	O
number	O
of	O
French	O
seamen	O
,	O
and	O
Flemish	O
or	O
Walloon	O
seamen	O
,	O
who	O
spoke	O
French	O
,	O
so	O
to	O
appear	O
on	O
all	O
proper	O
occasions	O
.	O

When	O
at	O
sea	O
we	O
met	O
with	O
any	O
Spanish	O
ship	O
worth	O
our	O
while	O
,	O
we	O
were	O
English	O
cruisers	O
,	O
had	O
letters	O
of	O
mart	O
from	O
England	PNM
,	O
had	O
no	O
account	O
of	O
the	O
peace	O
,	O
and	O
were	O
fitted	O
for	O
the	O
attack	O
.	O

And	O
when	O
in	O
the	O
East	PNM
Indies	PNM
we	O
had	O
occasion	O
to	O
trade	O
,	O
either	O
at	O
the	O
English	O
or	O
Dutch	O
settlements	O
,	O
we	O
should	O
have	O
imperial	O
colours	O
,	O
and	O
two	O
Flemish	O
merchants	O
,	O
at	O
least	O
in	O
appearance	O
,	O
to	O
transact	O
everything	O
as	O
we	O
found	O
occasion	O
.	O

However	O
,	O
this	O
last	O
part	O
of	O
our	O
project	O
failed	O
us	O
,	O
that	O
affair	O
not	O
being	O
fully	O
ripe	O
.	O

As	O
this	O
mysterious	O
equipment	O
may	O
be	O
liable	O
to	O
some	O
exceptions	O
,	O
and	O
perhaps	O
to	O
some	O
inquiries	O
,	O
I	O
shall	O
for	O
the	O
present	O
conceal	O
my	O
name	O
,	O
and	O
that	O
of	O
the	O
ship	O
also	O
.	O

By	O
inquiries	O
,	O
I	O
mean	O
inquiries	O
of	O
private	O
persons	O
concerned	O
;	O
for	O
,	O
as	O
to	O
public	O
inquiries	O
,	O
we	O
have	O
no	O
uneasiness	O
,	O
having	O
acted	O
nothing	O
in	O
contradiction	O
to	O
the	O
rules	O
and	O
laws	O
of	O
our	O
country	O
;	O
but	O
I	O
say	O
,	O
as	O
to	O
private	O
persons	O
,	O
it	O
is	O
thought	O
fit	O
to	O
prevent	O
their	O
inquiries	O
,	O
to	O
which	O
end	O
,	O
the	O
captain	O
,	O
in	O
whose	O
name	O
I	O
write	O
this	O
,	O
gives	O
me	O
leave	O
to	O
make	O
use	O
of	O
his	O
name	O
,	O
and	O
conceal	O
my	O
own	O
.	O

The	O
ship	O
sailed	O
from	O
the	O
river	O
the	O
20th	O
of	O
December	O
,	O
1713	O
,	O
and	O
went	O
directly	O
over	O
to	O
the	O
coast	O
of	O
Flanders	PNM
,	O
lying	O
at	O
an	O
anchor	O
in	O
Newport	PNM
Pitts	PNM
,	O
as	O
they	O
are	O
called	O
,	O
where	O
we	O
took	O
in	O
our	O
French	O
Captain	O
Jean	O
Michael	O
Merlotte	O
,	O
who	O
,	O
with	O
thirty-two	O
French	O
seamen	O
,	O
came	O
on	O
board	O
us	O
in	O
a	O
large	O
snow	O
from	O
Dunkirk	PNM
,	O
bringing	O
with	O
them	O
one	O
hundred	O
and	O
twenty-two	O
small	O
ankers	O
or	O
rundlets	O
of	O
brandy	O
,	O
and	O
some	O
hampers	O
and	O
casks	O
of	O
French	O
wine	O
in	O
wickered	O
bottles	O
.	O

While	O
we	O
were	O
here	O
,	O
we	O
lay	O
under	O
English	O
colours	O
,	O
with	O
pendants	O
flying	O
,	O
our	O
ship	O
being	O
upwards	O
of	O
five	O
hundred	O
ton	O
,	O
and	O
had	O
forty-six	O
guns	O
mounted	O
,	O
manned	O
with	O
three	O
hundred	O
and	O
fifty-six	O
men	O
;	O
we	O
took	O
the	O
more	O
men	O
on	O
board	O
,	O
because	O
we	O
resolved	O
,	O
as	O
occasion	O
should	O
present	O
,	O
to	O
fit	O
ourselves	O
with	O
another	O
ship	O
,	O
which	O
we	O
did	O
not	O
question	O
we	O
should	O
meet	O
with	O
in	O
the	O
South	PNM
Seas	PNM
.	O

We	O
had	O
also	O
a	O
third	O
design	O
in	O
our	O
voyage	O
,	O
though	O
it	O
may	O
be	O
esteemed	O
an	O
accident	O
to	O
the	O
rest	O
,	O
viz.	O
,	O
we	O
were	O
resolved	O
to	O
make	O
some	O
attempts	O
for	O
new	O
discoveries	O
,	O
as	O
opportunity	O
offered	O
;	O
and	O
we	O
had	O
two	O
persons	O
on	O
board	O
who	O
were	O
exceeding	O
well	O
qualified	O
for	O
our	O
direction	O
in	O
this	O
part	O
,	O
all	O
which	O
was	O
derived	O
from	O
the	O
following	O
occasion	O
.	O

The	O
person	O
who	O
was	O
principally	O
concerned	O
in	O
the	O
adventure	O
was	O
a	O
man	O
not	O
only	O
of	O
great	O
wealth	O
,	O
but	O
of	O
great	O
importance	O
;	O
he	O
was	O
particularly	O
addicted	O
to	O
what	O
we	O
call	O
new	O
discoveries	O
,	O
and	O
it	O
was	O
indeed	O
upon	O
his	O
genius	O
to	O
such	O
things	O
,	O
that	O
the	O
first	O
thought	O
of	O
the	O
voyage	O
was	O
founded	O
.	O

This	O
gentleman	O
told	O
me	O
,	O
that	O
he	O
had	O
already	O
sent	O
one	O
ship	O
fully	O
equipped	O
and	O
furnished	O
for	O
a	O
new	O
attempt	O
upon	O
the	O
North-West	O
or	O
North-East	O
passages	O
,	O
which	O
had	O
been	O
so	O
often	O
in	O
vain	O
tried	O
by	O
former	O
navigators	O
;	O
and	O
that	O
he	O
did	O
not	O
question	O
the	O
success	O
,	O
because	O
he	O
had	O
directed	O
them	O
by	O
new	O
measures	O
,	O
and	O
to	O
steer	O
a	O
course	O
that	O
was	O
never	O
attempted	O
yet	O
;	O
and	O
his	O
design	O
in	O
our	O
voyage	O
was	O
to	O
make	O
like	O
discoveries	O
towards	O
the	O
South	O
pole	O
;	O
where	O
,	O
as	O
he	O
said	O
,	O
and	O
gave	O
us	O
very	O
good	O
reasons	O
for	O
it	O
,	O
he	O
did	O
not	O
doubt	O
but	O
we	O
might	O
discover	O
,	O
even	O
to	O
the	O
pole	O
itself	O
,	O
and	O
find	O
out	O
new	O
worlds	O
and	O
new	O
seas	O
,	O
which	O
had	O
never	O
been	O
heard	O
of	O
before	O
.	O

With	O
these	O
designs	O
,	O
this	O
gentleman	O
came	O
into	O
the	O
other	O
part	O
of	O
our	O
project	O
,	O
and	O
contributed	O
the	O
more	O
largely	O
,	O
and	O
with	O
the	O
more	O
freedom	O
,	O
to	O
the	O
whole	O
,	O
upon	O
that	O
account	O
;	O
in	O
particular	O
,	O
all	O
the	O
needful	O
preparations	O
for	O
such	O
discoveries	O
were	O
made	O
wholly	O
at	O
his	O
expense	O
,	O
which	O
I	O
take	O
notice	O
of	O
here	O
,	O
as	O
being	O
most	O
proper	O
in	O
the	O
beginning	O
of	O
our	O
story	O
,	O
and	O
that	O
the	O
reader	O
may	O
the	O
less	O
wonder	O
at	O
the	O
particular	O
way	O
we	O
took	O
to	O
perform	O
a	O
voyage	O
which	O
might	O
with	O
much	O
more	O
ease	O
have	O
been	O
done	O
by	O
the	O
usual	O
and	O
ordinary	O
way	O
.	O

We	O
sailed	O
from	O
the	O
coast	O
of	O
Flanders	PNM
the	O
2nd	O
of	O
January	O
,	O
and	O
,	O
without	O
any	O
extraordinary	O
incident	O
,	O
made	O
the	O
coast	O
of	O
Galway	PNM
,	O
in	O
Ireland	O
,	O
the	O
10th	O
,	O
where	O
we	O
stayed	O
,	O
and	O
took	O
in	O
a	O
very	O
extraordinary	O
store	O
of	O
provisions	O
,	O
three	O
times	O
as	O
much	O
as	O
usual	O
,	O
the	O
beef	O
being	O
also	O
well	O
pickled	O
or	O
double	O
packed	O
,	O
that	O
we	O
might	O
have	O
a	O
sufficient	O
reserve	O
for	O
the	O
length	O
of	O
our	O
voyage	O
,	O
resolving	O
also	O
to	O
spare	O
it	O
as	O
much	O
as	O
possible	O
.	O

We	O
had	O
a	O
very	O
rich	O
cargo	O
on	O
board	O
,	O
consisting	O
of	O
all	O
sorts	O
of	O
British	PNM
manufactures	O
suitable	O
for	O
the	O
Spanish	O
trade	O
in	O
their	O
West	O
Indies	O
;	O
and	O
,	O
as	O
we	O
aimed	O
at	O
nothing	O
of	O
trade	O
till	O
we	O
came	O
to	O
the	O
Spanish	O
coast	O
,	O
we	O
sailed	O
directly	O
for	O
the	O
Canary	PNM
Islands	PNM
:	O
having	O
not	O
fully	O
resolved	O
whether	O
we	O
would	O
make	O
our	O
voyage	O
to	O
the	O
South	PNM
Seas	PNM
first	O
,	O
and	O
so	O
round	O
the	O
globe	O
by	O
the	O
East	PNM
Indies	PNM
,	O
as	O
has	O
been	O
the	O
usual	O
way	O
,	O
or	O
whether	O
we	O
would	O
go	O
first	O
by	O
the	O
East	PNM
Indies	PNM
,	O
and	O
upon	O
the	O
discoveries	O
we	O
were	O
directed	O
to	O
,	O
and	O
then	O
cross	O
the	O
great	O
Pacific	PNM
Ocean	PNM
to	O
the	O
west	O
coast	O
of	O
America	PNM
,	O
as	O
was	O
at	O
last	O
resolved	O
.	O

We	O
made	O
the	O
Canaries	O
,	O
the	O
11th	O
of	O
February	O
;	O
and	O
,	O
coming	O
to	O
an	O
anchor	O
there	O
to	O
take	O
in	O
some	O
fresh	O
water	O
,	O
we	O
put	O
out	O
French	O
colours	O
,	O
and	O
sent	O
our	O
boat	O
on	O
shore	O
,	O
with	O
a	O
French	O
boatswain	O
and	O
all	O
French	O
seamen	O
,	O
to	O
buy	O
what	O
we	O
wanted	O
:	O
they	O
brought	O
us	O
on	O
board	O
five	O
butts	O
or	O
pipes	O
of	O
wine	O
,	O
and	O
some	O
provisions	O
,	O
and	O
having	O
filled	O
our	O
water	O
,	O
we	O
set	O
sail	O
again	O
the	O
13th	O
.	O

In	O
this	O
time	O
we	O
called	O
a	O
council	O
among	O
ourselves	O
,	O
by	O
which	O
way	O
we	O
should	O
go	O
.	O

I	O
confess	O
I	O
was	O
for	O
going	O
by	O
the	O
Cape	PNM
of	PNM
Good	PNM
Hope	PNM
first	O
,	O
and	O
so	O
to	O
the	O
East	PNM
Indies	PNM
:	O
then	O
,	O
keeping	O
to	O
the	O
south	O
of	O
Java	PNM
,	O
go	O
away	O
to	O
the	O
Moluccas	O
,	O
where	O
I	O
made	O
no	O
doubt	O
to	O
make	O
some	O
purchase	O
among	O
the	O
Dutch	O
Spice	O
Islands	O
,	O
and	O
so	O
away	O
to	O
the	O
Philippines	O
;	O
but	O
the	O
whole	O
ship	O
's	O
company	O
,	O
I	O
mean	O
of	O
officers	O
,	O
were	O
against	O
me	O
in	O
this	O
scheme	O
,	O
although	O
I	O
told	O
them	O
plainly	O
,	O
that	O
the	O
discoveries	O
which	O
would	O
be	O
made	O
in	O
such	O
a	O
voyage	O
as	O
that	O
,	O
were	O
the	O
principal	O
reasons	O
why	O
our	O
chief	O
owner	O
embarked	O
in	O
the	O
adventure	O
,	O
and	O
that	O
we	O
ought	O
to	O
regard	O
the	O
end	O
and	O
design	O
of	O
our	O
voyage	O
;	O
that	O
it	O
would	O
certainly	O
in	O
the	O
conclusion	O
amount	O
to	O
the	O
same	O
,	O
as	O
to	O
trade	O
,	O
as	O
if	O
we	O
went	O
the	O
usual	O
way	O
,	O
seeing	O
the	O
places	O
we	O
were	O
to	O
go	O
to	O
were	O
the	O
same	O
one	O
way	O
as	O
the	O
other	O
,	O
and	O
it	O
was	O
only	O
putting	O
the	O
question	O
which	O
we	O
should	O
go	O
to	O
first	O
;	O
that	O
all	O
the	O
navigators	O
,	O
on	O
such	O
voyages	O
as	O
these	O
,	O
went	O
by	O
the	O
South	O
Seas	O
first	O
,	O
which	O
would	O
be	O
no	O
honour	O
to	O
us	O
at	O
all	O
:	O
but	O
,	O
if	O
we	O
went	O
by	O
the	O
East	PNM
Indies	PNM
first	O
,	O
we	O
should	O
be	O
the	O
first	O
that	O
ever	O
went	O
such	O
a	O
voyage	O
,	O
and	O
that	O
we	O
might	O
make	O
many	O
useful	O
discoveries	O
and	O
experiments	O
in	O
trying	O
that	O
course	O
;	O
that	O
it	O
would	O
be	O
worth	O
our	O
while	O
,	O
not	O
only	O
to	O
go	O
that	O
way	O
,	O
but	O
to	O
have	O
all	O
the	O
world	O
take	O
notice	O
of	O
it	O
,	O
and	O
of	O
us	O
for	O
it	O
.	O

I	O
used	O
a	O
great	O
many	O
arguments	O
of	O
the	O
like	O
nature	O
,	O
but	O
they	O
answered	O
me	O
most	O
effectually	O
,	O
with	O
laying	O
before	O
me	O
the	O
difficulties	O
of	O
the	O
voyage	O
,	O
and	O
the	O
contrary	O
methods	O
of	O
trade	O
,	O
which	O
,	O
in	O
a	O
word	O
,	O
made	O
the	O
going	O
that	O
way	O
impracticable	O
:	O
First	O
,	O
the	O
difficulty	O
of	O
the	O
voyage	O
,	O
over	O
the	O
vast	O
ocean	O
called	O
the	O
Pacific	PNM
Sea	PNM
,	PNM
or	O
South	PNM
Sea	PNM
,	O
which	O
,	O
if	O
we	O
kept	O
a	O
southern	O
latitude	O
,	O
and	O
took	O
the	O
variable	O
winds	O
,	O
as	O
we	O
should	O
find	O
them	O
,	O
as	O
I	O
proposed	O
to	O
do	O
,	O
might	O
very	O
well	O
be	O
a	O
voyage	O
of	O
six	O
or	O
eight	O
months	O
,	O
without	O
